Vaccine  ,Price Tier (group) (4.2),Source,Year (Price),Display Price
DT,,UNICEF SD,2019,0.16
DT,,PAHO,2019,0.16
DT,China & Lower Middle Income,V3P,2019,0.244810554
DT,Upper Middle Income,V3P,2019,0.431591200
DT,High Income & Super HICs,V3P,2019,1.687448081
DT,,UNICEF SD,2018,0.16
DT,,PAHO,2018,0.167
DT,China & Lower Middle Income,V3P,2018,0.365935673
DT,Upper Middle Income,V3P,2018,0.435143439
DT,High Income & Super HICs,V3P,2018,11.435762471
DT,,UNICEF SD,2017,0.159
DT,,PAHO,2017,0.167
DT,China & Lower Middle Income,V3P,2017,0.383333333
DT,Upper Middle Income,V3P,2017,0.623717030
DT,High Income & Super HICs,V3P,2017,2.752
DT,,UNICEF SD,2016,0.14
DT,,PAHO,2016,0.156
DT,China & Lower Middle Income,V3P,2016,0.8314075
DT,Upper Middle Income,V3P,2016,0.738998562
DT,High Income & Super HICs,V3P,2016,2.2851415
DT,,UNICEF SD,2015,0.115
DT,,PAHO,2015,0.119
DT,China & Lower Middle Income,V3P,2015,
DT,Upper Middle Income,V3P,2015,
DT,High Income & Super HICs,V3P,2015,
DT,,UNICEF SD,2014,0.115
DT,,PAHO,2014,0.11
DT,Upper Middle Income,V3P,2014,
DT,,UNICEF SD,2013,0.11
DT,,PAHO,2013,0.1115
DT,Upper Middle Income,V3P,2013,
DT,High Income & Super HICs,V3P,2013,
DT,,UNICEF SD,2012,0.105
DT,,PAHO,2012,0.085
DTaP,,PAHO,2021,16.52
DTaP,USA,CDC,2021,19.224777778
DTaP,,PAHO,2020,16.2
DTaP,China & Lower Middle Income,V3P,2020,
DTaP,Upper Middle Income,V3P,2020,
DTaP,High Income & Super HICs,V3P,2020,24.247355574
DTaP,USA,CDC,2020,18.689857143
DTaP,,PAHO,2019,15
DTaP,Upper Middle Income,V3P,2019,14.723319786
DTaP,High Income & Super HICs,V3P,2019,14.314525832
DTaP,USA,CDC,2019,18.351916667
DTaP,,PAHO,2018,15
DTaP,Upper Middle Income,V3P,2018,15.431590159
DTaP,High Income & Super HICs,V3P,2018,13.668514436
DTaP,USA,CDC,2018,17.872121212
DTaP,,PAHO,2017,15
DTaP,Upper Middle Income,V3P,2017,16.763333333
DTaP,High Income & Super HICs,V3P,2017,11.568577539
DTaP,USA,CDC,2017,17.215555556
DTaP,,PAHO,2016,12.8
DTaP,Upper Middle Income,V3P,2016,17.5995735
DTaP,High Income & Super HICs,V3P,2016,15.778726593
DTaP,USA,CDC,2016,16.693888889
DTaP,,PAHO,2015,11.26335
DTaP,High Income & Super HICs,V3P,2015,
DTaP,USA,CDC,2015,15.953333333
DTaP,,PAHO,2014,8.49355
DTaP,Upper Middle Income,V3P,2014,
DTaP,High Income & Super HICs,V3P,2014,
DTaP,USA,CDC,2014,15.663703704
DTaP,,PAHO,2013,9.8397
DTaP,High Income & Super HICs,V3P,2013,
DTaP,USA,CDC,2013,15.581481481
DTaP,,PAHO,2012,10.5
DTaP,USA,CDC,2012,14.917575758
DTaP-HepB-IPV,USA,CDC,2021,61.699555556
DTaP-HepB-IPV,High Income & Super HICs,V3P,2020,
DTaP-HepB-IPV,USA,CDC,2020,60.156
DTaP-HepB-IPV,USA,CDC,2019,58.78
DTaP-HepB-IPV,USA,CDC,2018,57.55
DTaP-HepB-IPV,USA,CDC,2017,55.75
DTaP-HepB-IPV,USA,CDC,2016,54.726666667
DTaP-HepB-IPV,USA,CDC,2015,53.86
DTaP-HepB-IPV,USA,CDC,2014,53.433333333
DTaP-HepB-IPV,USA,CDC,2013,52.473333333
DTaP-HepB-IPV,USA,CDC,2012,51.815
DTaP-Hib-IPV,,PAHO,2021,16.31
DTaP-Hib-IPV,USA,CDC,2021,62.612444444
DTaP-Hib-IPV,,PAHO,2020,15.84
DTaP-Hib-IPV,Upper Middle Income,V3P,2020,18.437953824
DTaP-Hib-IPV,High Income & Super HICs,V3P,2020,24.705719602
DTaP-Hib-IPV,USA,CDC,2020,60.906
DTaP-Hib-IPV,,PAHO,2019,14.8
DTaP-Hib-IPV,Upper Middle Income,V3P,2019,18.075346339
DTaP-Hib-IPV,High Income & Super HICs,V3P,2019,22.366479096
DTaP-Hib-IPV,USA,CDC,2019,59.149
DTaP-Hib-IPV,,PAHO,2018,14.2
DTaP-Hib-IPV,Upper Middle Income,V3P,2018,18.976948530
DTaP-Hib-IPV,High Income & Super HICs,V3P,2018,24.838818262
DTaP-Hib-IPV,USA,CDC,2018,57.895818182
DTaP-Hib-IPV,,PAHO,2017,13.6
DTaP-Hib-IPV,Upper Middle Income,V3P,2017,22.298394187
DTaP-Hib-IPV,High Income & Super HICs,V3P,2017,25.125299187
DTaP-Hib-IPV,USA,CDC,2017,56.814444444
DTaP-Hib-IPV,,PAHO,2016,13
DTaP-Hib-IPV,Upper Middle Income,V3P,2016,20.127205
DTaP-Hib-IPV,High Income & Super HICs,V3P,2016,23.885188606
DTaP-Hib-IPV,USA,CDC,2016,56.488333333
DTaP-Hib-IPV,,PAHO,2015,12.5
DTaP-Hib-IPV,Upper Middle Income,V3P,2015,
DTaP-Hib-IPV,High Income & Super HICs,V3P,2015,
DTaP-Hib-IPV,USA,CDC,2015,53.73
DTaP-Hib-IPV,,PAHO,2014,11.5
DTaP-Hib-IPV,Upper Middle Income,V3P,2014,
DTaP-Hib-IPV,High Income & Super HICs,V3P,2014,
DTaP-Hib-IPV,USA,CDC,2014,53.626666667
DTaP-Hib-IPV,,PAHO,2013,10
DTaP-Hib-IPV,Upper Middle Income,V3P,2013,
DTaP-Hib-IPV,High Income & Super HICs,V3P,2013,
DTaP-Hib-IPV,USA,CDC,2013,55.682222222
DTaP-Hib-IPV,USA,CDC,2012,53.915
DTaP-IPV,,PAHO,2021,13.23
DTaP-IPV,USA,CDC,2021,42.810681818
DTaP-IPV,,PAHO,2020,12.84
DTaP-IPV,Upper Middle Income,V3P,2020,19.033000970
DTaP-IPV,High Income & Super HICs,V3P,2020,22.715843525
DTaP-IPV,USA,CDC,2020,41.857444444
DTaP-IPV,,PAHO,2019,12
DTaP-IPV,Upper Middle Income,V3P,2019,16.639145234
DTaP-IPV,High Income & Super HICs,V3P,2019,18.705078844
DTaP-IPV,USA,CDC,2019,40.874636364
DTaP-IPV,,PAHO,2018,11.5
DTaP-IPV,Upper Middle Income,V3P,2018,17.797711616
DTaP-IPV,High Income & Super HICs,V3P,2018,20.023278652
DTaP-IPV,USA,CDC,2018,39.916875
DTaP-IPV,,PAHO,2017,11
DTaP-IPV,Upper Middle Income,V3P,2017,16.744
DTaP-IPV,High Income & Super HICs,V3P,2017,19.028120497
DTaP-IPV,USA,CDC,2017,39.57
DTaP-IPV,,PAHO,2016,10.4
DTaP-IPV,Upper Middle Income,V3P,2016,14.8091578
DTaP-IPV,High Income & Super HICs,V3P,2016,16.481852496
DTaP-IPV,USA,CDC,2016,39.391666667
DTaP-IPV,,PAHO,2015,9.55
DTaP-IPV,Upper Middle Income,V3P,2015,
DTaP-IPV,High Income & Super HICs,V3P,2015,
DTaP-IPV,USA,CDC,2015,38.5
DTaP-IPV,,PAHO,2014,8.6
DTaP-IPV,Upper Middle Income,V3P,2014,
DTaP-IPV,High Income & Super HICs,V3P,2014,
DTaP-IPV,USA,CDC,2014,38.043333333
DTaP-IPV,Upper Middle Income,V3P,2013,
DTaP-IPV,High Income & Super HICs,V3P,2013,
DTaP-IPV,USA,CDC,2013,36.767777778
DTaP-IPV,USA,CDC,2012,35.125
DTwP,,UNICEF SD,2021,0.165
DTwP,,PAHO,2021,0.1773
DTwP,,UNICEF SD,2020,0.165
DTwP,,PAHO,2020,0.1813
DTwP,China & Lower Middle Income,V3P,2020,0.280210134
DTwP,Upper Middle Income,V3P,2020,1.698127938
DTwP,High Income & Super HICs,V3P,2020,1.609712230
DTwP,,UNICEF SD,2019,0.165
DTwP,,PAHO,2019,0.1757
DTwP,China & Lower Middle Income,V3P,2019,0.214327200
DTwP,Upper Middle Income,V3P,2019,0.335778167
DTwP,High Income & Super HICs,V3P,2019,2.496028610
DTwP,,UNICEF SD,2018,0.2
DTwP,,PAHO,2018,0.1685
DTwP,China & Lower Middle Income,V3P,2018,0.377120526
DTwP,Upper Middle Income,V3P,2018,0.336006460
DTwP,High Income & Super HICs,V3P,2018,4.094943630
DTwP,,UNICEF SD,2017,0.2
DTwP,,PAHO,2017,0.2048
DTwP,China & Lower Middle Income,V3P,2017,0.248
DTwP,Upper Middle Income,V3P,2017,0.402703131
DTwP,High Income & Super HICs,V3P,2017,3.744249941
DTwP,,UNICEF SD,2016,0.2
DTwP,,PAHO,2016,0.222
DTwP,China & Lower Middle Income,V3P,2016,0.225
DTwP,Upper Middle Income,V3P,2016,0.6796605
DTwP,High Income & Super HICs,V3P,2016,1.378457667
DTwP,,UNICEF SD,2015,0.197
DTwP,,PAHO,2015,0.2185
DTwP,China & Lower Middle Income,V3P,2015,
DTwP,Upper Middle Income,V3P,2015,
DTwP,High Income & Super HICs,V3P,2015,
DTwP,,UNICEF SD,2014,0.197
DTwP,,PAHO,2014,0.2185
DTwP,China & Lower Middle Income,V3P,2014,
DTwP,Upper Middle Income,V3P,2014,
DTwP,,UNICEF SD,2013,0.197
DTwP,,PAHO,2013,0.197
DTwP,Upper Middle Income,V3P,2013,
DTwP,,UNICEF SD,2012,0.141
DTwP,,PAHO,2012,0.16
DTwP-HepB-Hib-IPV,Upper Middle Income,V3P,2020,
DTwP-Hib,,PAHO,2021,3
DTwP-Hib,,PAHO,2020,3
DTwP-Hib,,PAHO,2019,2.65
DTwP-Hib,,PAHO,2018,2.65
DTwP-Hib,Upper Middle Income,V3P,2018,2.852709622
DTwP-Hib,,PAHO,2017,2.65
DTwP-Hib,Upper Middle Income,V3P,2017,2.84
DTwP-Hib,,PAHO,2016,2.65
DTwP-Hib,Upper Middle Income,V3P,2016,2.7316545
DTwP-Hib,,PAHO,2015,2.65
DTwP-Hib,Upper Middle Income,V3P,2015,
DTwP-Hib,,PAHO,2014,2.65
DTwP-Hib,,PAHO,2013,3.05
DTwP-Hib,,PAHO,2012,3
Ebola,,UNICEF SD,2021,98.6
Ebola,,UNICEF SD,2020,98.6
HepA,,UNICEF SD,2021,7.55
HepA,,PAHO,2021,8.298
HepA,USA,CDC,2021,21.250666667
HepA,,UNICEF SD,2020,6.99
HepA,,PAHO,2020,8.166
HepA,China & Lower Middle Income,V3P,2020,7.299310184
HepA,Upper Middle Income,V3P,2020,15.611004054
HepA,High Income & Super HICs,V3P,2020,19.585691872
HepA,USA,CDC,2020,20.604333333
HepA,,PAHO,2019,8.142
HepA,Upper Middle Income,V3P,2019,11.519872790
HepA,High Income & Super HICs,V3P,2019,14.223596642
HepA,USA,CDC,2019,19.855555556
HepA,,PAHO,2018,8.115
HepA,Upper Middle Income,V3P,2018,14.683693127
HepA,High Income & Super HICs,V3P,2018,14.980431900
HepA,USA,CDC,2018,19.254117647
HepA,,PAHO,2017,8.0562
HepA,Upper Middle Income,V3P,2017,12.326402749
HepA,High Income & Super HICs,V3P,2017,16.143636364
HepA,USA,CDC,2017,18.355806452
HepA,,PAHO,2016,8.4028
HepA,Upper Middle Income,V3P,2016,10.737971
HepA,High Income & Super HICs,V3P,2016,16.526716167
HepA,USA,CDC,2016,17.8925
HepA,,PAHO,2015,8.75
HepA,Upper Middle Income,V3P,2015,
HepA,High Income & Super HICs,V3P,2015,
HepA,USA,CDC,2015,16.856666667
HepA,,PAHO,2014,7.1
HepA,Upper Middle Income,V3P,2014,
HepA,High Income & Super HICs,V3P,2014,
HepA,USA,CDC,2014,15.9825
HepA,,PAHO,2013,7.1
HepA,Upper Middle Income,V3P,2013,
HepA,USA,CDC,2013,15.478611111
HepA,,PAHO,2012,7.1
HepA,USA,CDC,2012,14.744571429
HepA (adult),,PAHO,2021,13.0893
HepA (adult),USA,CDC,2021,34.107826087
HepA (adult),,PAHO,2020,13.6294
HepA (adult),Upper Middle Income,V3P,2020,18.092376747
HepA (adult),High Income & Super HICs,V3P,2020,29.362593143
HepA (adult),USA,CDC,2020,31.664555556
HepA (adult),,PAHO,2019,13.2779
HepA (adult),Upper Middle Income,V3P,2019,21.934186346
HepA (adult),High Income & Super HICs,V3P,2019,26.292426475
HepA (adult),USA,CDC,2019,29.772916667
HepA (adult),,PAHO,2018,13.2
HepA (adult),Upper Middle Income,V3P,2018,20.674724688
HepA (adult),High Income & Super HICs,V3P,2018,32.929500883
HepA (adult),USA,CDC,2018,28.132564103
HepA (adult),,PAHO,2017,13.2
HepA (adult),Upper Middle Income,V3P,2017,20.342109784
HepA (adult),High Income & Super HICs,V3P,2017,27.722868175
HepA (adult),USA,CDC,2017,27.288333333
HepA (adult),,PAHO,2016,12
HepA (adult),Upper Middle Income,V3P,2016,20.677868
HepA (adult),High Income & Super HICs,V3P,2016,24.906426714
HepA (adult),USA,CDC,2016,26.488333333
HepA (adult),,PAHO,2015,11.5
HepA (adult),High Income & Super HICs,V3P,2015,
HepA (adult),USA,CDC,2015,25.946666667
HepA (adult),,PAHO,2014,11.5
HepA (adult),High Income & Super HICs,V3P,2014,
HepA (adult),USA,CDC,2014,24.526666667
HepA (adult),,PAHO,2013,11
HepA (adult),High Income & Super HICs,V3P,2013,
HepA (adult),USA,CDC,2013,23.304545455
HepA (adult),,PAHO,2012,11
HepA (adult),USA,CDC,2012,21.529090909
HepA+B,USA,CDC,2021,64.311444444
HepA+B,High Income & Super HICs,V3P,2020,38.055214724
HepA+B,USA,CDC,2020,62.301333333
HepA+B,USA,CDC,2019,59.9125
HepA+B,USA,CDC,2018,58.177272727
HepA+B,USA,CDC,2017,56.25
HepA+B,USA,CDC,2016,54.890454545
HepA+B,USA,CDC,2015,53.273333333
HepA+B,USA,CDC,2014,51.564
HepA+B,USA,CDC,2013,50.42
HepA+B,USA,CDC,2012,48.726666667
HepB,,UNICEF SD,2021,0.24
HepB,,PAHO,2021,0.5377
HepB,USA,CDC,2021,14.166944444
HepB,,UNICEF SD,2020,0.24
HepB,,PAHO,2020,0.5317
HepB,China & Lower Middle Income,V3P,2020,0.749115152
HepB,Upper Middle Income,V3P,2020,1.941772157
HepB,High Income & Super HICs,V3P,2020,9.379127860
HepB,USA,CDC,2020,13.873047619
HepB,,UNICEF SD,2019,0.24
HepB,,PAHO,2019,0.2165
HepB,China & Lower Middle Income,V3P,2019,0.673649851
HepB,Upper Middle Income,V3P,2019,1.250833164
HepB,High Income & Super HICs,V3P,2019,6.081510308
HepB,USA,CDC,2019,13.374166667
HepB,,UNICEF SD,2018,0.175
HepB,,PAHO,2018,0.2165
HepB,China & Lower Middle Income,V3P,2018,0.412169404
HepB,Upper Middle Income,V3P,2018,1.871720576
HepB,High Income & Super HICs,V3P,2018,6.358351092
HepB,USA,CDC,2018,12.876666667
HepB,,UNICEF SD,2017,0.175
HepB,,PAHO,2017,0.2165
HepB,China & Lower Middle Income,V3P,2017,0.38
HepB,Upper Middle Income,V3P,2017,2.262969528
HepB,High Income & Super HICs,V3P,2017,5.025
HepB,USA,CDC,2017,12.084615385
HepB,,UNICEF SD,2016,0.175
HepB,,PAHO,2016,0.224
HepB,China & Lower Middle Income,V3P,2016,0.521633143
HepB,Upper Middle Income,V3P,2016,1.755825333
HepB,High Income & Super HICs,V3P,2016,4.625921143
HepB,USA,CDC,2016,11.860833333
HepB,,UNICEF SD,2015,0.16
HepB,,PAHO,2015,0.26
HepB,Upper Middle Income,V3P,2015,
HepB,High Income & Super HICs,V3P,2015,
HepB,USA,CDC,2015,11.3525
HepB,,UNICEF SD,2014,0.16
HepB,,PAHO,2014,0.35
HepB,China & Lower Middle Income,V3P,2014,
HepB,Upper Middle Income,V3P,2014,
HepB,High Income & Super HICs,V3P,2014,
HepB,USA,CDC,2014,11.2025
HepB,,UNICEF SD,2013,0.16
HepB,,PAHO,2013,0.25
HepB,China & Lower Middle Income,V3P,2013,
HepB,Upper Middle Income,V3P,2013,
HepB,High Income & Super HICs,V3P,2013,
HepB,USA,CDC,2013,11.1025
HepB,,UNICEF SD,2012,0.175
HepB,,PAHO,2012,0.266666667
HepB,USA,CDC,2012,10.759142857
HepB (adult),,UNICEF SD,2021,0.3
HepB (adult),,PAHO,2021,0.5169
HepB (adult),USA,CDC,2021,41.32240625
HepB (adult),,UNICEF SD,2020,0.3
HepB (adult),,PAHO,2020,0.5051
HepB (adult),Upper Middle Income,V3P,2020,4.665793771
HepB (adult),High Income & Super HICs,V3P,2020,12.637979969
HepB (adult),USA,CDC,2020,42.332766667
HepB (adult),,UNICEF SD,2019,0.3
HepB (adult),,PAHO,2019,0.2832
HepB (adult),China & Lower Middle Income,V3P,2019,0.755473893
HepB (adult),Upper Middle Income,V3P,2019,1.897728482
HepB (adult),High Income & Super HICs,V3P,2019,12.406827433
HepB (adult),USA,CDC,2019,43.483
HepB (adult),,UNICEF SD,2018,0.3
HepB (adult),,PAHO,2018,0.25395
HepB (adult),China & Lower Middle Income,V3P,2018,1.369141458
HepB (adult),Upper Middle Income,V3P,2018,3.221904909
HepB (adult),High Income & Super HICs,V3P,2018,12.985877899
HepB (adult),USA,CDC,2018,30.139130435
HepB (adult),,UNICEF SD,2017,0.3
HepB (adult),,PAHO,2017,0.25395
HepB (adult),China & Lower Middle Income,V3P,2017,0.96
HepB (adult),Upper Middle Income,V3P,2017,2.659169170
HepB (adult),High Income & Super HICs,V3P,2017,13.160476190
HepB (adult),USA,CDC,2017,26.623
HepB (adult),,PAHO,2016,0.288
HepB (adult),China & Lower Middle Income,V3P,2016,1.131713333
HepB (adult),Upper Middle Income,V3P,2016,2.15354895
HepB (adult),High Income & Super HICs,V3P,2016,11.958368828
HepB (adult),USA,CDC,2016,25.779305556
HepB (adult),,PAHO,2015,0.326666667
HepB (adult),China & Lower Middle Income,V3P,2015,
HepB (adult),Upper Middle Income,V3P,2015,
HepB (adult),High Income & Super HICs,V3P,2015,
HepB (adult),USA,CDC,2015,25.482777778
HepB (adult),,PAHO,2014,0.33035
HepB (adult),Upper Middle Income,V3P,2014,
HepB (adult),High Income & Super HICs,V3P,2014,
HepB (adult),USA,CDC,2014,25.764
HepB (adult),,PAHO,2013,0.3351
HepB (adult),Upper Middle Income,V3P,2013,
HepB (adult),High Income & Super HICs,V3P,2013,
HepB (adult),USA,CDC,2013,25.131377778
HepB (adult),USA,CDC,2012,25.589555556
Hexa,,PAHO,2021,21.12
Hexa,USA,CDC,2021,91.59
Hexa,,PAHO,2020,21.12
Hexa,Upper Middle Income,V3P,2020,32.880658143
Hexa,High Income & Super HICs,V3P,2020,44.969552922
Hexa,,PAHO,2019,21.12
Hexa,Upper Middle Income,V3P,2019,21.948983822
Hexa,High Income & Super HICs,V3P,2019,36.265553405
Hexa,,PAHO,2018,20.6
Hexa,Upper Middle Income,V3P,2018,34.206212443
Hexa,High Income & Super HICs,V3P,2018,40.006038891
Hexa,,PAHO,2017,19.8
Hexa,Upper Middle Income,V3P,2017,32.813333333
Hexa,High Income & Super HICs,V3P,2017,44.745006944
Hexa,,PAHO,2016,19
Hexa,Upper Middle Income,V3P,2016,29.36973275
Hexa,High Income & Super HICs,V3P,2016,42.102745437
Hexa,,PAHO,2015,18.65
Hexa,Upper Middle Income,V3P,2015,
Hexa,High Income & Super HICs,V3P,2015,
Hexa,Upper Middle Income,V3P,2014,
Hexa,High Income & Super HICs,V3P,2014,
Hexa,Upper Middle Income,V3P,2013,
Hexa,High Income & Super HICs,V3P,2013,
Hib,,PAHO,2021,2.15
Hib,USA,CDC,2021,11.038333333
Hib,,PAHO,2020,2.15
Hib,Upper Middle Income,V3P,2020,3.591690709
Hib,High Income & Super HICs,V3P,2020,16.686024220
Hib,USA,CDC,2020,10.843777778
Hib,,PAHO,2019,2.05
Hib,Upper Middle Income,V3P,2019,4.148270883
Hib,High Income & Super HICs,V3P,2019,10.982349157
Hib,USA,CDC,2019,10.702666667
Hib,,PAHO,2018,2.05
Hib,Upper Middle Income,V3P,2018,5.940885357
Hib,High Income & Super HICs,V3P,2018,10.480485497
Hib,USA,CDC,2018,10.641212121
Hib,,PAHO,2017,2.05
Hib,Upper Middle Income,V3P,2017,6.9175
Hib,High Income & Super HICs,V3P,2017,9.515456403
Hib,USA,CDC,2017,10.554074074
Hib,,PAHO,2016,2.05
Hib,Upper Middle Income,V3P,2016,6.7085975
Hib,High Income & Super HICs,V3P,2016,8.849007674
Hib,USA,CDC,2016,10.576
Hib,,PAHO,2015,1.95
Hib,Upper Middle Income,V3P,2015,
Hib,High Income & Super HICs,V3P,2015,
Hib,USA,CDC,2015,10.88
Hib,,PAHO,2014,1.7
Hib,Upper Middle Income,V3P,2014,
Hib,High Income & Super HICs,V3P,2014,
Hib,USA,CDC,2014,10.818333333
Hib,,PAHO,2013,1.95
Hib,Upper Middle Income,V3P,2013,
Hib,High Income & Super HICs,V3P,2013,
Hib,USA,CDC,2013,10.717222222
Hib,USA,CDC,2012,10.306521739
HPV,,UNICEF SD,2021,4.5
HPV,USA,CDC,2021,192.182222222
HPV,,UNICEF SD,2020,4.5
HPV,,PAHO,2020,9.98
HPV,Upper Middle Income,V3P,2020,38.528175680
HPV,High Income & Super HICs,V3P,2020,67.117057976
HPV,USA,CDC,2020,184.053333333
HPV,,UNICEF SD,2019,4.5
HPV,Upper Middle Income,V3P,2019,11.385398934
HPV,High Income & Super HICs,V3P,2019,56.681989159
HPV,USA,CDC,2019,174.375
HPV,,UNICEF SD,2018,4.5
HPV,,PAHO,2018,9.04
HPV,Upper Middle Income,V3P,2018,27.927104324
HPV,High Income & Super HICs,V3P,2018,56.298641857
HPV,USA,CDC,2018,163.11
HPV,,UNICEF SD,2017,4.5
HPV,,PAHO,2017,9.15
HPV,Upper Middle Income,V3P,2017,40.126075604
HPV,High Income & Super HICs,V3P,2017,52.417188941
HPV,USA,CDC,2017,137.721666667
HPV,,UNICEF SD,2016,4.5
HPV,,PAHO,2016,8.5
HPV,Upper Middle Income,V3P,2016,31.732293
HPV,High Income & Super HICs,V3P,2016,58.299765485
HPV,USA,CDC,2016,131.265833333
HPV,,UNICEF SD,2015,4.5
HPV,,PAHO,2015,8.5
HPV,Upper Middle Income,V3P,2015,
HPV,High Income & Super HICs,V3P,2015,
HPV,USA,CDC,2015,117.98875
HPV,,UNICEF SD,2014,4.5
HPV,Upper Middle Income,V3P,2014,
HPV,High Income & Super HICs,V3P,2014,
HPV,USA,CDC,2014,109.627666667
HPV,,UNICEF SD,2013,4.5
HPV,,PAHO,2013,13.435
HPV,Upper Middle Income,V3P,2013,
HPV,High Income & Super HICs,V3P,2013,
HPV,USA,CDC,2013,105.092333333
HPV,,PAHO,2012,13.865
HPV,USA,CDC,2012,100.9214
IPV,,UNICEF SD,2021,1.75
IPV,,PAHO,2021,3.1
IPV,USA,CDC,2021,13.966666667
IPV,,UNICEF SD,2020,2.09
IPV,,PAHO,2020,3.1
IPV,China & Lower Middle Income,V3P,2020,4.358690546
IPV,Upper Middle Income,V3P,2020,4.339911938
IPV,High Income & Super HICs,V3P,2020,13.315856518
IPV,USA,CDC,2020,13.75
IPV,,UNICEF SD,2019,2.09
IPV,,PAHO,2019,4.3
IPV,China & Lower Middle Income,V3P,2019,4.051624672
IPV,Upper Middle Income,V3P,2019,4.096748003
IPV,High Income & Super HICs,V3P,2019,12.583002395
IPV,USA,CDC,2019,13.4875
IPV,,UNICEF SD,2018,0.925925926
IPV,,PAHO,2018,3.65
IPV,China & Lower Middle Income,V3P,2018,5.225761905
IPV,Upper Middle Income,V3P,2018,3.630722240
IPV,High Income & Super HICs,V3P,2018,11.808144156
IPV,USA,CDC,2018,13.229090909
IPV,,UNICEF SD,2017,0.845737483
IPV,,PAHO,2017,3.6
IPV,China & Lower Middle Income,V3P,2017,2.25
IPV,Upper Middle Income,V3P,2017,4.786032239
IPV,High Income & Super HICs,V3P,2017,10.454558572
IPV,USA,CDC,2017,12.897777778
