Code,Country,WB_Code,WB_name,Classification,GNI_pc,Population,Birth_rate,Annual_births
24,PAKISTAN,PAK,Pakistan,LMIC,1580," 212,215,030 ",28.599," 6,069,137.6 "
29,SUDAN,SDN,Sudan,LMIC,1560," 41,801,533 ",32.542," 1,360,305.5 "
39,CAMEROON,CMR,Cameroon,LMIC,1440," 25,216,237 ",35.9," 905,262.9 "
35,ZAMBIA,ZMB,Zambia,LMIC,1430," 17,351,822 ",36.699," 636,794.5 "
42,SENEGAL,SEN,Senegal,LMIC,1410," 15,854,360 ",35.12," 556,805.1 "
37,CAMBODIA,KHM,Cambodia,LMIC,1380," 16,249,798 ",22.889," 371,941.6 "
43,LESOTHO,LSO,Lesotho,LMIC,1380," 2,108,132 ",27.17," 57,277.9 "
46,COMOROS,COM,Comoros,LMIC,1320," 832,322 ",32.365," 26,938.1 "
22,MYANMAR,MMR,Myanmar,LMIC,1310," 53,708,395 ",17.703," 950,799.7 "
75,NORTH_KOREA,PRK,"Korea, Dem. People's Rep.",LIC,1300," 25,549,819 ",13.91," 355,398.0 "
40,KYRGYZSTAN,KGZ,Kyrgyz Republic,LMIC,1220," 6,315,800 ",24.8," 156,631.8 "
34,MAURITANIA,MRT,Mauritania,LMIC,1190," 4,403,319 ",34.132," 150,294.1 "
45,TANZANIA,TZA,Tanzania,LIC,1020," 56,318,348 ",37.075," 2,088,002.8 "
38,TAJIKISTAN,TJK,Tajikistan,LIC,1010," 9,100,837 ",31.364," 285,438.7 "
47,NEPAL,NPL,Nepal,LIC,960," 28,087,871 ",20.196," 567,262.6 "
48,YEMEN,YEM,"Yemen, Rep.",LIC,960," 28,498,687 ",31.04," 884,599.2 "
50,BENIN,BEN,Benin,LIC,870," 11,485,048 ",36.621," 420,593.9 "
51,GUINEA,GIN,Guinea,LIC,830," 12,414,318 ",36.765," 456,412.4 "
53,MALI,MLI,Mali,LIC,830," 19,077,690 ",42.078," 802,751.0 "
58,HAITI,HTI,Haiti,LIC,800," 11,123,176 ",24.75," 275,298.6 "
57,ETHIOPIA,ETH,Ethiopia,LIC,790," 109,224,559 ",32.775," 3,579,834.9 "
54,RWANDA,RWA,Rwanda,LIC,780," 12,301,939 ",32.062," 394,424.8 "
62,GUINEA_BISSAU,GNB,Guinea-Bissau,LIC,750," 1,874,309 ",35.697," 66,907.2 "
76,ERITREA,ERI,Eritrea,LIC,720," 4,475,000 ",30.898," 138,268.6 "
63,GAMBIA,GMB,"Gambia, The",LIC,700," 2,280,102 ",38.967," 88,848.7 "
56,CHAD,TCD,Chad,LIC,670," 15,477,751 ",42.683," 660,636.8 "
60,BURKINA_FASO,BFA,Burkina Faso,LIC,660," 19,751,535 ",38.419," 758,834.2 "
61,TOGO,TGO,Togo,LIC,650," 7,889,094 ",33.55," 264,679.1 "
59,UGANDA,UGA,Uganda,LIC,620," 42,723,139 ",38.947," 1,663,938.1 "
68,LIBERIA,LBR,Liberia,LIC,600," 4,818,977 ",33.426," 161,079.1 "
55,AFGHANISTAN,AFG,Afghanistan,LIC,550," 37,172,386 ",33.211," 1,234,532.1 "
65,SIERRA_LEONE,SLE,Sierra Leone,LIC,500," 7,650,154 ",33.939," 259,638.6 "
71,CONGO_DR,COD,"Congo, Dem. Rep.",LIC,490," 84,068,091 ",41.732," 3,508,329.6 "
74,CENTRAL_AFRICAN_REPUBLIC,CAF,Central African Republic,LIC,480," 4,666,377 ",35.66," 166,403.0 "
72,SOUTH_SUDAN,SSD,South Sudan,LIC,460," 10,975,920 ",35.37," 388,218.3 "
64,MADAGASCAR,MDG,Madagascar,LIC,440," 26,262,368 ",32.897," 863,953.1 "
66,MOZAMBIQUE,MOZ,Mozambique,LIC,440," 29,495,962 ",37.876," 1,117,189.1 "
70,NIGER,NER,Niger,LIC,380," 22,442,948 ",46.54," 1,044,494.8 "
67,MALAWI,MWI,Malawi,LIC,360," 18,143,315 ",34.593," 627,631.7 "
73,BURUNDI,BDI,Burundi,LIC,280," 11,175,378 ",39.646," 443,059.0 "
77,SOMALIA,SOM,Somalia,LIC,130," 15,008,154 ",41.919," 629,126.8 "
