Vaccine,Year,Measure Names,Sum of Volume
DTwP-HepB-Hib,2006,Sum of Volume,21000000
DTwP-HepB-Hib,2005,Sum of Volume,21000000
DTwP-HepB-Hib,2004,Sum of Volume,15000000
DTwP-HepB-Hib,2003,Sum of Volume,16000000
DTwP-HepB-Hib,2002,Sum of Volume,9000000
DTwP-HepB-Hib,2001,Sum of Volume,15000000
DTwP-Hib,2011,Sum of Volume,5000000
DTwP-Hib,2010,Sum of Volume,4000000
DTwP-Hib,2009,Sum of Volume,3000000
DTwP-Hib,2008,Sum of Volume,2000000
DTwP-Hib,2007,Sum of Volume,3000000
DTwP-Hib,2006,Sum of Volume,1000000
DTwP-Hib,2005,Sum of Volume,0
DTwP-Hib,2004,Sum of Volume,2000000
DTwP-Hib,2003,Sum of Volume,4000000
DTwP-Hib,2002,Sum of Volume,0
HepB,2019,Sum of Volume,20710000
HepB,2018,Sum of Volume,22000000
HepB,2017,Sum of Volume,23000000
HepB,2016,Sum of Volume,21000000
HepB,2015,Sum of Volume,14000000
HepB,2014,Sum of Volume,20000000
HepB,2013,Sum of Volume,23000000
HepB,2012,Sum of Volume,22000000
HepB,2011,Sum of Volume,16000000
HepB,2010,Sum of Volume,25000000
HepB,2009,Sum of Volume,62000000
HepB,2008,Sum of Volume,81000000
HepB,2007,Sum of Volume,62000000
HepB,2006,Sum of Volume,90000000
HepB,2005,Sum of Volume,81000000
HepB,2004,Sum of Volume,66000000
HepB,2003,Sum of Volume,54000000
HepB,2002,Sum of Volume,40000000
HepB,2001,Sum of Volume,29000000
HepB,2000,Sum of Volume,6000000
HPV,2019,Sum of Volume,12030000
HPV,2018,Sum of Volume,6000000
HPV,2017,Sum of Volume,5000000
HPV,2016,Sum of Volume,3000000
HPV,2015,Sum of Volume,3000000
HPV,2014,Sum of Volume,1000000
IPV,2019,Sum of Volume,92040000
IPV,2018,Sum of Volume,66000000
IPV,2017,Sum of Volume,52000000
IPV,2016,Sum of Volume,51000000
IPV,2015,Sum of Volume,64000000
IPV,2014,Sum of Volume,22000000
JE,2019,Sum of Volume,330000
JE,2018,Sum of Volume,2000000
JE,2017,Sum of Volume,20000000
JE,2016,Sum of Volume,0
JE,2015,Sum of Volume,9000000
JE,2014,Sum of Volume,2000000
Measles,2019,Sum of Volume,163380000
Measles,2018,Sum of Volume,158000000
Measles,2017,Sum of Volume,117000000
Measles,2016,Sum of Volume,137000000
Measles,2015,Sum of Volume,170000000
Measles,2014,Sum of Volume,179000000
Measles,2013,Sum of Volume,297000000
Measles,2012,Sum of Volume,162000000
Measles,2011,Sum of Volume,169000000
Measles,2010,Sum of Volume,169000000
Measles,2009,Sum of Volume,127000000
Measles,2008,Sum of Volume,173000000
Measles,2007,Sum of Volume,237000000
Measles,2006,Sum of Volume,181000000
Measles,2005,Sum of Volume,224000000
Measles,2004,Sum of Volume,145000000
Measles,2003,Sum of Volume,188000000
Measles,2002,Sum of Volume,149000000
Measles,2001,Sum of Volume,108000000
Measles,2000,Sum of Volume,85000000
Meningococcal,2019,Sum of Volume,5200000
Meningococcal,2018,Sum of Volume,70000000
Meningococcal,2017,Sum of Volume,18000000
Meningococcal,2016,Sum of Volume,37000000
Meningococcal,2015,Sum of Volume,48000000
Meningococcal,2014,Sum of Volume,70000000
Meningococcal,2013,Sum of Volume,49000000
Meningococcal,2012,Sum of Volume,67000000
Meningococcal,2011,Sum of Volume,42000000
Meningococcal,2010,Sum of Volume,23000000
Meningococcal,2009,Sum of Volume,15000000
Meningococcal,2008,Sum of Volume,7000000
Meningococcal,2007,Sum of Volume,2000000
Meningococcal,2006,Sum of Volume,4000000
Meningococcal,2005,Sum of Volume,3000000
Meningococcal,2004,Sum of Volume,22000000
Meningococcal,2003,Sum of Volume,0
Meningococcal,2002,Sum of Volume,14000000
Meningococcal,2001,Sum of Volume,3000000
Meningococcal,2000,Sum of Volume,5000000
MMR,2019,Sum of Volume,14430000
MMR,2018,Sum of Volume,17000000
MMR,2017,Sum of Volume,14000000
MMR,2016,Sum of Volume,21000000
MMR,2015,Sum of Volume,14000000
MMR,2014,Sum of Volume,13000000
MMR,2013,Sum of Volume,6000000
MMR,2012,Sum of Volume,7000000
MMR,2011,Sum of Volume,4000000
MMR,2010,Sum of Volume,4000000
MMR,2009,Sum of Volume,4000000
MMR,2008,Sum of Volume,1000000
MMR,2007,Sum of Volume,1000000
MMR,2006,Sum of Volume,1000000
MMR,2005,Sum of Volume,2000000
MMR,2004,Sum of Volume,1000000
MMR,2003,Sum of Volume,2000000
MMR,2002,Sum of Volume,1000000
MMR,2001,Sum of Volume,1000000
MMR,2000,Sum of Volume,1000000
MR,2019,Sum of Volume,168500000
MR,2018,Sum of Volume,199000000
MR,2017,Sum of Volume,153000000
MR,2016,Sum of Volume,118000000
MR,2015,Sum of Volume,112000000
MR,2014,Sum of Volume,127000000
MR,2013,Sum of Volume,106000000
MR,2012,Sum of Volume,33000000
MR,2011,Sum of Volume,9000000
MR,2010,Sum of Volume,3000000
MR,2009,Sum of Volume,3000000
MR,2008,Sum of Volume,2000000
MR,2007,Sum of Volume,30000000
MR,2006,Sum of Volume,2000000
MR,2005,Sum of Volume,13000000
MR,2004,Sum of Volume,7000000
MR,2003,Sum of Volume,6000000
MR,2002,Sum of Volume,1000000
MR,2001,Sum of Volume,11000000
MR,2000,Sum of Volume,1000000
OCV,2019,Sum of Volume,19970000
OCV,2018,Sum of Volume,19000000
OCV,2017,Sum of Volume,13000000
OCV,2016,Sum of Volume,3000000
OPV,2019,Sum of Volume,1093580000
OPV,2018,Sum of Volume,1119000000
OPV,2017,Sum of Volume,1238000000
OPV,2016,Sum of Volume,1336000000
OPV,2015,Sum of Volume,1612000000
OPV,2014,Sum of Volume,1635000000
OPV,2013,Sum of Volume,1714000000
OPV,2012,Sum of Volume,1098000000
OPV,2011,Sum of Volume,1729000000
OPV,2010,Sum of Volume,1885000000
OPV,2009,Sum of Volume,2284000000
OPV,2008,Sum of Volume,1817000000
OPV,2007,Sum of Volume,2323000000
OPV,2006,Sum of Volume,2369000000
OPV,2005,Sum of Volume,2265000000
OPV,2004,Sum of Volume,2112000000
OPV,2003,Sum of Volume,1889000000
OPV,2002,Sum of Volume,1242000000
OPV,2001,Sum of Volume,1050000000
OPV,2000,Sum of Volume,970000000
PCV,2019,Sum of Volume,161180000
PCV,2018,Sum of Volume,141000000
PCV,2017,Sum of Volume,157000000
PCV,2016,Sum of Volume,166000000
PCV,2015,Sum of Volume,134000000
PCV,2014,Sum of Volume,103000000
PCV,2013,Sum of Volume,59000000
PCV,2012,Sum of Volume,59000000
PCV,2011,Sum of Volume,36000000
PCV,2010,Sum of Volume,8000000
PCV,2009,Sum of Volume,2000000
Rota,2019,Sum of Volume,78900000
Rota,2018,Sum of Volume,81000000
Rota,2017,Sum of Volume,48000000
Rota,2016,Sum of Volume,56000000
Rota,2015,Sum of Volume,39000000
Rota,2014,Sum of Volume,30000000
Rota,2013,Sum of Volume,26000000
Rota,2012,Sum of Volume,12000000
Rota,2011,Sum of Volume,1000000
TT,2019,Sum of Volume,12280000
TT,2018,Sum of Volume,46000000
TT,2017,Sum of Volume,83000000
TT,2016,Sum of Volume,77000000
TT,2015,Sum of Volume,93000000
TT,2014,Sum of Volume,133000000
TT,2013,Sum of Volume,147000000
TT,2012,Sum of Volume,126000000
TT,2011,Sum of Volume,148000000
TT,2010,Sum of Volume,130000000
TT,2009,Sum of Volume,128000000
TT,2008,Sum of Volume,179000000
TT,2007,Sum of Volume,174000000
TT,2006,Sum of Volume,93000000
TT,2005,Sum of Volume,151000000
TT,2004,Sum of Volume,144000000
TT,2003,Sum of Volume,115000000
TT,2002,Sum of Volume,126000000
TT,2001,Sum of Volume,132000000
TT,2000,Sum of Volume,82000000
YF,2019,Sum of Volume,71750000
YF,2018,Sum of Volume,78000000
YF,2017,Sum of Volume,43000000
YF,2016,Sum of Volume,48000000
YF,2015,Sum of Volume,36000000
YF,2014,Sum of Volume,35000000
YF,2013,Sum of Volume,34000000
YF,2012,Sum of Volume,36000000
YF,2011,Sum of Volume,24000000
YF,2010,Sum of Volume,35000000
YF,2009,Sum of Volume,37000000
YF,2008,Sum of Volume,39000000
YF,2007,Sum of Volume,32000000
YF,2006,Sum of Volume,13000000
YF,2005,Sum of Volume,21000000
YF,2004,Sum of Volume,25000000
YF,2003,Sum of Volume,18000000
YF,2002,Sum of Volume,10000000
YF,2001,Sum of Volume,6000000
YF,2000,Sum of Volume,4000000
